Sl No.,ZPTC Name,Name of the Contesting Candidate,Party affiliation,Result Status,district
3,Chilkur,BOLISHETTI SHIRISHA,TRS,Elected,Suryapet
4,Chinthala palem,chintareddi chandrakala,TRS,Elected,Suryapet
5,Chivvemla,BHUKYA SNJEEV NAIK,TRS,Elected,Suryapet
6,Garidepalle,Poreddy Shailaja,TRS,Elected,Suryapet
7,Huzur nagar,Saidhireddy Koppula,TRS,Elected,Suryapet
8,Jajireddigudem,Dhavula Chinaveeraprasad,TRS,Elected,Suryapet
9,Kodad,MANDALAPU KRISHNA KUMARI,TRS,Elected,Suryapet
10,Maddirala,SURAMBHA KANNA,TRS,Elected,Suryapet
11,Mattampalle,Jeghya Banothu,TRS,Elected,Suryapet
12,Mellachervu,Shagamreddy Padma,INC,Elected,Suryapet
13,Mothey,Pandhillapalli Pulla Rao,TRS,Elected,Suryapet
14,Munagala,NALLAPATI PRAMEELA,TRS,Elected,Suryapet
15,Nadigudem,Banala Kavitha,TRS,Elected,Suryapet
16,Nagaram,INDIRA KADIYAM,INC,Elected,Suryapet
17,Neredcherla,R Narsaiah,TRS,Elected,Suryapet
18,Noothankal,KANDALA DAMODER REDDY,TRS,Elected,Suryapet
19,Palakeedu,Malothu Bujji,INC,Elected,Suryapet
20,Penpahad,Anitha Mamidi,TRS,Elected,Suryapet
21,Suryapet,BIXAM JEEDI,TRS,Elected,Suryapet
22,Thirumalagiri,DHUPATI ANJALI,TRS,Elected,Suryapet
23,Thungathurthi,GUJJA DEEPIKA,TRS,Elected,Suryapet
1,Bantwaram,Santhosha Kotapally,INC,Elected,Vikarabad
2,Basheerabad,SRINIVAS REDDY,TRS,Elected,Vikarabad
3,Bomraspeta,Chowhan Aruna Deshu,TRS,Elected,Vikarabad
4,Dharur,KOSNAM SUJATHA,TRS,Elected,Vikarabad
5,Doma,KoppulaVenkata Naagi Reddy,TRS,Elected,Vikarabad
6,Doulatabad,KOTLA MAHIPAL,TRS,Elected,Vikarabad
7,Kodangal,NAGARANI AVUTI,TRS,Elected,Vikarabad
8,Kotepally,Patnam Sunitha,TRS,Elected,Vikarabad
9,Kulkacharla,KATRAVATH RAMDAS,TRS,Elected,Vikarabad
10,Marpalle,Pachhe Madhukar,TRS,Elected,Vikarabad
11,Mominpet,Baindla Vijay Kumar,TRS,Elected,Vikarabad
12,Nawabpet,KALE JAYAMMA,TRS,Elected,Vikarabad
13,Pargi,PATLOLLA HARIPRIYA,TRS,Elected,Vikarabad
14,Peddemul,DHARASINGH NAIK,INC,Elected,Vikarabad
15,Pudur,MALIPEDDI MEGHAMALA,TRS,Elected,Vikarabad
16,Tandur,GOUDI MANJULA,TRS,Elected,Vikarabad
17,Vikarabad,Pramodhini,INC,Elected,Vikarabad
18,Yelal,SIDRALA SANDHYA RANI,TRS,Elected,Vikarabad
1,Atmakur,R SHIVARANGINI,TRS,Elected,Wanaparthy
2,Chinnambavi,K Venkatrammama,TRS,Elected,Wanaparthy
3,Ghanpur,Samya,TRS,Elected,Wanaparthy
4,Gopalpeta,MANDA BHARGAVI,TRS,Elected,Wanaparthy
5,Kothakota,Vaman Goud,TRS,Elected,Wanaparthy
6,Madanapur,Krishnaiah,TRS,Elected,Wanaparthy
7,Pangal,Katravath Laxmi,TRS,Elected,Wanaparthy
8,Pebbair,PEDDHINTI PADMA,TRS,Elected,Wanaparthy
9,Peddamandadi,Raghupathi reddy,TRS,Elected,Wanaparthy
10,Revelly,Pedda Bimaiah,TRS,Elected,Wanaparthy
11,Srirangapur,M RAJENDRAPRASAD,INC,Elected,Wanaparthy
12,Wanaparthy,RAKASI LOKANATH REDDY,TRS,Elected,Wanaparthy
13,Weepangandla,Suragoni Madhuri,TRS,Elected,Wanaparthy
1,Atmakur,Radhika kakkerla,TRS,Elected,Warangal
2,Chennaraopeta,BANOTHU PATHINAYAK,TRS,Elected,Warangal
3,Damera,Garige Kalpana,TRS,Elected,Warangal
4,Duggondi,srinivas akula,TRS,Elected,Warangal
5,Geesugonda,police dharma rao,TRS,Elected,Warangal
6,Khanapur,Swapna Bathini,TRS,Elected,Warangal
7,Nadikuda,Kodepaka Sumalatha,TRS,Elected,Warangal
8,Nallabelly,SWAPNA PEDDI,TRS,Elected,Warangal
9,Narsampet,Komandla Jayamma,TRS,Elected,Warangal
10,Nekkonda,LAVUDY SAROJA,TRS,Elected,Warangal
11,Parkal,Mogili Siluveru,TRS,Elected,Warangal
12,Parvathagiri,BANOTHU SINGALAAL,TRS,Elected,Warangal
13,Raiparthy,KUMARASWAMY RANGU,TRS,Elected,Warangal
14,Sangem,GUDA SUDHARSHAN,TRS,Elected,Warangal
15,Shayampet,Gandra Jyothi,TRS,Elected,Warangal
16,Wardhannapet,BIXAPATHI MARGAM,TRS,Elected,Warangal
1,Addagudur,JYOTHI SRIRAMULA,TRS,Elected,Yadadri Bhuvanagiri
2,Alair,Kududhula Nagesh,INC,Elected,Yadadri Bhuvanagiri
3,Atmakur_M,KODITYALA NARENDER GUPTA,INC,Elected,Yadadri Bhuvanagiri
4,Bhongiri,SUBURU BEERUMALLAIAH,TRS,Elected,Yadadri Bhuvanagiri
5,Bibinagar,GOLI PRANEETHA REDDY,TRS,Elected,Yadadri Bhuvanagiri
6,Bommalaramaram,ALIMINETI SANDEEP REDDY,TRS,Elected,Yadadri Bhuvanagiri
7,Choutuppal,Chilukuri Prabhakar Reddy,INC,Elected,Yadadri Bhuvanagiri
8,Gundala,Kolukonda Laxmi,TRS,Elected,Yadadri Bhuvanagiri
9,Mootakondur,PALLA VENKAT REDDY,TRS,Elected,Yadadri Bhuvanagiri
10,Mothkur,SHARADHA GORUPALLI,TRS,Elected,Yadadri Bhuvanagiri
11,Narayanapur,Veeramalla Bhanu,TRS,Elected,Yadadri Bhuvanagiri
12,Pochampalle,Kota Pushphalatha,TRS,Elected,Yadadri Bhuvanagiri
13,Rajapet,Chamakura Gopal,TRS,Elected,Yadadri Bhuvanagiri
14,Ramannapeta,PUNNA LAXMI,INC,Elected,Yadadri Bhuvanagiri
15,Turkapalle_M,DHANAVATH BEEKU,TRS,Elected,Yadadri Bhuvanagiri
16,Valigonda,VAKITI PADMA,INC,Elected,Yadadri Bhuvanagiri
17,Yadagirigutta,THOTAKURI ANURADHA,TRS,Elected,Yadadri Bhuvanagiri
